Title*,Assign to*,Task type,Due date*,Due time*,Priority,Project,Description
Customer portal pending pickup list matches dashboard count,Nurshid (Tech Team),Bug,2026-09-07,11:25,HIGH,Rentfoxxy CRM,"Completed 7 Sep 2026. Dashboard Pending Pickup was 31 items; tickets page showed 24 tickets. List now opens one row per pending pickup item (including pickups on replacement tickets) so KPI and list match. Same rule for pending replacement."
Customer portal orders + count popup,Nurshid (Tech Team),New Feature,2026-09-07,11:30,HIGH,Rentfoxxy CRM,"Completed 7 Sep 2026. Orders list + button with count; click opens a popup of all related items instead of only the first line."
Customer portal SO address display,Nurshid (Tech Team),Bug,2026-09-07,11:36,HIGH,Rentfoxxy CRM,"Completed 7 Sep 2026. Sales order detail (SO/26-27/0768) now shows the full address correctly instead of a truncated or broken layout."
Customer portal DC tracking uses real timeline,Nurshid (Tech Team),Bug,2026-09-07,12:21,HIGH,Rentfoxxy CRM,"Completed 7 Sep 2026. Track was marking Delivered on pending DCs. Timeline now follows actual challan events. Admin DC pending and portal track no longer contradict each other."
Customer portal tickets one search only,Nurshid (Tech Team),Bug,2026-09-07,11:53,NORMAL,Rentfoxxy CRM,"Completed 7 Sep 2026. Support tickets list had three search boxes. Reduced to a single search."
Customer portal tickets one status column,Nurshid (Tech Team),Bug,2026-09-07,11:58,NORMAL,Rentfoxxy CRM,"Completed 7 Sep 2026. List and ticket 1635 showed Current Stage and Status together. One status is shown now."
Customer portal change password,Nurshid (Tech Team),New Feature,2026-09-07,12:01,HIGH,Rentfoxxy CRM,"Completed 7 Sep 2026. Profile page lets the customer change their own password."
Credit notes invoice-style per customer + select approve,Nurshid (Tech Team),New Feature,2026-09-07,14:47,HIGH,Rentfoxxy CRM,"Completed 7 Sep 2026. One CN per customer lists all eligible laptops (not one CN per laptop). Invoice-style PDF. Click-through detail page. Multi-select approve. PDF shows only approved lines. Removed Clear Draft. Migration 226 (line_items)."
QA staging DB restore from 7 Sep dump,Nurshid (Tech Team),Requirement,2026-09-07,15:13,HIGH,Rentfoxxy CRM,"Completed 7 Sep 2026. Wiped laptop_refurbishment_qa only and imported postgres_backup070926.sql. Production DB not touched."
QA pending migrations after restore,Nurshid (Tech Team),Requirement,2026-09-07,15:24,HIGH,Rentfoxxy CRM,"Completed 7 Sep 2026. Applied pending QA migrations after the dump (skipped seeds/reassigns). Includes 226 credit-note line items."
